6b2cc3d0-fbf8-4310-bada-18caed56f13e,2025-03-10T15:25:34.010170,1,phish_2.html,ai_2.html,left,,1861,25-34,intermediate
6b2cc3d0-fbf8-4310-bada-18caed56f13e,2025-03-10T15:25:35.428670,2,ai_.html,ai_2.html,left,,1119,25-34,intermediate
6b2cc3d0-fbf8-4310-bada-18caed56f13e,2025-03-10T15:25:36.564108,3,regular_1.html,ai_.html,right,,831,25-34,intermediate
6b2cc3d0-fbf8-4310-bada-18caed56f13e,2025-03-10T15:25:37.809738,4,ai_2.html,regular_1.html,right,,864,25-34,intermediate
6b2cc3d0-fbf8-4310-bada-18caed56f13e,2025-03-10T15:25:39.241549,5,ai_.html,phish_2.html,left,,1142,25-34,intermediate
6b2cc3d0-fbf8-4310-bada-18caed56f13e,2025-03-10T15:25:40.664551,6,phish_1.html,ai_2.html,right,,1127,25-34,intermediate
6b2cc3d0-fbf8-4310-bada-18caed56f13e,2025-03-10T15:25:41.914716,7,phish_2.html,phish_1.html,left,,959,25-34,intermediate
6b2cc3d0-fbf8-4310-bada-18caed56f13e,2025-03-10T15:25:44.336821,8,regular_1.html,phish_1.html,right,,2143,25-34,intermediate
6b2cc3d0-fbf8-4310-bada-18caed56f13e,2025-03-10T15:25:47.740355,9,ai_.html,phish_1.html,left,,3081,25-34,intermediate
6b2cc3d0-fbf8-4310-bada-18caed56f13e,2025-03-10T15:25:50.126062,10,regular_1.html,phish_2.html,left,,2056,25-34,intermediate
1feb5823-2f9a-435f-8cdc-26b8fb644f5c,2025-03-11T07:26:49.200603,1,phish_2.html,phish_1.html,left,,4162,35-44,advanced
1feb5823-2f9a-435f-8cdc-26b8fb644f5c,2025-03-11T07:26:51.308888,2,phish_2.html,ai_email_1_c221ddf5.html,right,,1745,35-44,advanced
1feb5823-2f9a-435f-8cdc-26b8fb644f5c,2025-03-11T07:26:53.427420,3,ai_1.html,ai_email_1_c221ddf5.html,left,,1752,35-44,advanced
1feb5823-2f9a-435f-8cdc-26b8fb644f5c,2025-03-11T07:26:55.316500,4,ai_email_1_c221ddf5.html,phish_1.html,right,,1529,35-44,advanced
1feb5823-2f9a-435f-8cdc-26b8fb644f5c,2025-03-11T07:26:57.450521,5,ai_email_1_c221ddf5.html,regular_1.html,left,,1766,35-44,advanced
1feb5823-2f9a-435f-8cdc-26b8fb644f5c,2025-03-11T08:11:39.816871,1,phish_2.html,phish_1.html,left,,6317,35-44,advanced
1feb5823-2f9a-435f-8cdc-26b8fb644f5c,2025-03-11T08:11:43.414242,2,regular_1.html,ai_email_1_c221ddf5.html,right,,3292,35-44,advanced
1feb5823-2f9a-435f-8cdc-26b8fb644f5c,2025-03-11T08:11:46.560083,3,ai_email_1_c221ddf5.html,phish_2.html,right,,2770,35-44,advanced
1feb5823-2f9a-435f-8cdc-26b8fb644f5c,2025-03-11T08:11:49.989833,4,ai_email_1_c221ddf5.html,phish_1.html,left,,3003,35-44,advanced
1feb5823-2f9a-435f-8cdc-26b8fb644f5c,2025-03-11T08:11:52.535442,5,phish_2.html,regular_1.html,left,,2169,35-44,advanced
1feb5823-2f9a-435f-8cdc-26b8fb644f5c,2025-03-11T08:32:18.730919,1,ai_22.html,phish_2.html,left,,7520,35-44,advanced
1feb5823-2f9a-435f-8cdc-26b8fb644f5c,2025-03-11T08:32:21.943238,2,phish_2.html,regular_1.html,left,,2793,35-44,advanced
1feb5823-2f9a-435f-8cdc-26b8fb644f5c,2025-03-11T08:32:24.777497,3,phish_1.html,regular_1.html,left,,2539,35-44,advanced
